,time,name,country,place,marathon,day,month,year,gender
1,2:18:31,Vivian CHERUIYOT,KEN,1,London,22,APR,2018,F
2,2:18:34,Ruti AGA,ETH,2,Berlin,16,SEP,2018,F
3,2:18:35,Brigid KOSGEI,KEN,1,Chicago,7,OCT,2018,F
4,2:18:35,Ruth CHEPNGETICH,KEN,1,Istanbul,11,NOV,2018,F
5,2:18:55,Tirunesh DIBABA,ETH,3,Berlin,16,SEP,2018,F
6,2:19:17,Roza DEREJE,ETH,1,Dubai,26,JAN,2018,F
7,2:19:30,Feyse TADESE,ETH,2,Dubai,26,JAN,2018,F
8,2:19:36,Yebrgual MELESE,ETH,3,Dubai,26,JAN,2018,F
9,2:19:51,Berhane DIBABA,ETH,1,Tokyo,25,FEB,2018,F
10,2:19:56,Worknesh DEGEFA,ETH,4,Dubai,26,JAN,2018,F
11,2:20:13,Haftamnesh TESFAY,ETH,5,Dubai,26,JAN,2018,F
12,2:20:13,Brigid KOSGEI,KEN,2,London,22,APR,2018,F
13,2:20:36,Meskerem ASSEFA,ETH,1,Frankfurt,28,OCT,2018,F
14,2:20:37,Yebrgual MELESE,ETH,1,Shanghai,18,NOV,2018,F
15,2:20:45,Gelete BURKA,ETH,6,Dubai,26,JAN,2018,F
16,2:20:47,Haftamnesh TESFAY,ETH,2,Frankfurt,28,OCT,2018,F
17,2:21:14,Ashete DIDO,ETH,1,Valencia,2,DEC,2018,F
18,2:21:18,Edna KIPLAGAT,KEN,4,Berlin,16,SEP,2018,F
19,2:21:18,DEREJE,ETH,2,Chicago,7,OCT,2018,F
20,2:21:19,AGA,ETH,2,Tokyo,25,FEB,2018,F
21,2:21:32,Bedatu HIRPA,ETH,3,Frankfurt,28,OCT,2018,F
22,2:21:38,Valary AYABEI,KEN,1,Beijing,16,SEP,2018,F
23,2:21:40,Tadelech BEKELE,ETH,3,London,22,APR,2018,F
24,2:21:42,Amy CRAGG,USA,3,Tokyo,25,FEB,2018,F
25,2:21:45,Dera DIDA,ETH,7,Dubai,26,JAN,2018,F
26,2:21:45,Meskerem ASSEFA,ETH,1,Nagoya,11,MAR,2018,F
27,2:21:51,Azmera ABREHA,ETH,2,Shanghai,18,NOV,2018,F
28,2:21:53,Belaynesh OLJIRA,ETH,4,Frankfurt,28,OCT,2018,F
29,2:22:07,Gelete BURKA,ETH,1,Ottawa,27,MAY,2018,F
30,2:22:10,Lydia CHEROMEI,KEN,2,Valencia,2,DEC,2018,F
31,2:22:15,Shure DEMISE,ETH,3,Chicago,7,OCT,2018,F
32,2:22:17,DEMISE,ETH,4,Tokyo,25,FEB,2018,F
33,2:22:23,Mizuki MATSUDA,JPN,5,Berlin,16,SEP,2018,F
34,2:22:29,Mimi BELETE,ETH,1,Toronto,21,OCT,2018,F
35,2:22:35,Marta MEGRA,ETH,2,Toronto,21,OCT,2018,F
36,2:22:39,Dera DIDA,ETH,5,Frankfurt,28,OCT,2018,F
37,2:22:44,Mizuki MATSUDA,JPN,1,Osaka,28,JAN,2018,F
38,2:22:45,Sintayehu LEWETEGN,ETH,6,Frankfurt,28,OCT,2018,F
39,2:22:46,Nancy Jepkosgei KIPROP,KEN,7,Frankfurt,28,OCT,2018,F
40,2:22:48,Valary JEMELI,KEN,2,Nagoya,11,MAR,2018,F
41,2:22:48,Helen TOLA,ETH,6,Berlin,16,SEP,2018,F
42,2:22:48,Mary KEITANY,KEN,1,New York,4,NOV,2018,F
43,2:22:55,Betsy SAINA,KEN,1,Paris,8,APR,2018,F
44,2:22:58,Visiline JEPKESHO,KEN,1,Ljubljana,28,OCT,2018,F
45,2:22:59,Ruth CHEPNGETICH,KEN,2,Paris,8,APR,2018,F
46,2:23:06,Gulume CHALA,ETH,3,Paris,8,APR,2018,F
47,2:23:07,Hanami SEKINE,JPN,3,Nagoya,11,MAR,2018,F
48,2:23:14,Tadelech BEKELE,ETH,1,Amsterdam,21,OCT,2018,F
49,2:23:15,Sally KIPYEGO,KEN,2,Ljubljana,28,OCT,2018,F
50,2:23:27,Ashete BEKELE,ETH,4,Paris,8,APR,2018,F
51,2:23:28,Shasho INSERMU,ETH,2,Amsterdam,21,OCT,2018,F
52,2:23:29,Ruth CHEBITOK,KEN,3,Toronto,21,OCT,2018,F
53,2:23:31,Azmera GEBRU,ETH,3,Amsterdam,21,OCT,2018,F
54,2:23:34,Dibabe KUMA,ETH,3,Ljubljana,28,OCT,2018,F
55,2:23:37,Tinbit WELDEGEBRIL,ETH,3,Valencia,2,DEC,2018,F
56,2:23:39,Desi JISA,BRN,4,Amsterdam,21,OCT,2018,F
57,2:23:40,Betty LEMPUS,KEN,3,Shanghai,18,NOV,2018,F
58,2:23:43,Stella BARSOSIO,KEN,5,Paris,8,APR,2018,F
59,2:23:46,Rahma TUSA,ETH,1,Roma,8,APR,2018,F
60,2:23:46,Linet MASAI,KEN,5,Amsterdam,21,OCT,2018,F
61,2:23:47,Visiline JEPKESHO,KEN,1,Rotterdam,8,APR,2018,F
62,2:23:48,Honami MAEDA,JPN,2,Osaka,28,JAN,2018,F
63,2:23:54,Afera GODFAY,ETH,4,Shanghai,18,NOV,2018,F
64,2:24:05,JISA,BRN,8,Dubai,26,JAN,2018,F
65,2:24:08,Marta MEGRA,ETH,6,Paris,8,APR,2018,F
66,2:24:08,Hirut TIBEBU,ETH,1,Seoul,18,MAR,2018,F
67,2:24:10,Gladys CHERONO,KEN,4,London,22,APR,2018,F
68,2:24:11,Sembere TEFERI,ETH,9,Dubai,26,JAN,2018,F
69,2:24:17,Lonah Chemtai SALPETER,ISR,1,Firenze,25,NOV,2018,F
70,2:24:18,Nancy KIPROP,KEN,1,Wien,22,APR,2018,F
71,2:24:19,Bornes KITUR,KEN,1,Prague,6,MAY,2018,F
72,2:24:27,Mary KEITANY,KEN,5,London,22,APR,2018,F
73,2:24:30,Margaret AGAI,KEN,2,Seoul,18,MAR,2018,F
74,2:24:31,Monica JEPKOECH,KEN,3,Seoul,18,MAR,2018,F
75,2:24:35,Betsy SAINA,KEN,8,Frankfurt,28,OCT,2018,F
76,2:24:35,Aberu MEKURIA,ETH,4,Valencia,2,DEC,2018,F
77,2:24:38,Jackline CHEPNGENO,KEN,6,Amsterdam,21,OCT,2018,F
78,2:24:47,Letebrhan HAYLAY,ETH,1,Dongying,5,MAY,2018,F
79,2:24:49,Ruth CHEBITOK,KEN,1,Gold Coast,1,JUL,2018,F
80,2:24:51,Bruktayit ESHETU,ETH,1,Houston,14,JAN,2018,F
81,2:24:51,Shitaye ESHETE,BRN,1,Hamburg,29,APR,2018,F
82,2:24:57,Belaynesh OLJIRA,ETH,2,Houston,14,JAN,2018,F
83,2:25:00,Stellah BARSOSIO,KEN,9,Frankfurt,28,OCT,2018,F
84,2:25:01,Mulu SEBOKA,ETH,4,Seoul,18,MAR,2018,F
85,2:25:02,Abebech AFEWORK,ETH,7,Paris,8,APR,2018,F
86,2:25:02,Sharon CHEROP,KEN,4,Ljubljana,28,OCT,2018,F
87,2:25:04,Margaret AGAI,KEN,2,Istanbul,11,NOV,2018,F
88,2:25:10,Hirut Tibebu DAMTE,ETH,1,Hangzhou,4,NOV,2018,F
89,2:25:13,Belaynesh OLJIRA,ETH,2,Prague,6,MAY,2018,F
90,2:25:17,Abebech AFEWORK,ETH,10,Frankfurt,28,OCT,2018,F
91,2:25:22,Ana Dulce FELIX,POR,5,Valencia,2,DEC,2018,F
92,2:25:23,Honami MAEDA,JPN,7,Berlin,16,SEP,2018,F
93,2:25:24,Mare DIBABA,ETH,11,Frankfurt,28,OCT,2018,F
94,2:25:25,Volha MAZURONAK,BLR,1,Dusseldorf,29,APR,2018,F
95,2:25:27,Carla Salome ROCHA,POR,8,Berlin,16,SEP,2018,F
96,2:25:28,Dirke DEBELE,ETH,2,Hamburg,29,APR,2018,F
97,2:25:35,Kaoutar BOULAID,MAR,1,Sevilla,25,FEB,2018,F
98,2:25:35,Dalila ABDULKADIR,BRN,1,Saitama,9,DEC,2018,F
99,2:25:39,Shitaye ESHETE,BRN,2,Saitama,9,DEC,2018,F
0,2:14:04,Brigid KOSGEI,KEN,1,Chicago,13,OCT,2019,F
1,2:17:08,Ruth CHEPNGETICH,KEN,1,Dubai,25,JAN,2019,F
2,2:17:20,KOSGEI,KEN,1,London,28,APR,2019,F
3,2:17:41,Worknesh DEGEFA,ETH,2,Dubai,25,JAN,2019,F
4,2:18:30,Roza DEREJE,ETH,1,Valencia,1,DEC,2019,F
5,2:18:33,Azmera ABREHA,ETH,2,Valencia,1,DEC,2019,F
6,2:18:46,Birhane DIBABA,ETH,3,Valencia,1,DEC,2019,F
7,2:18:52,Vivian CHERUIYOT,KEN,4,Valencia,1,DEC,2019,F
8,2:19:10,Valary AYABEI,KEN,1,Frankfurt,27,OCT,2019,F
9,2:19:26,Degitu AZIMERAW,ETH,1,Amsterdam,20,OCT,2019,F
10,2:19:27,Zeineba YIMER,ETH,5,Valencia,1,DEC,2019,F
11,2:19:46,Lonah Chemtai SALPETER,ISR,1,Prague,5,MAY,2019,F
12,2:19:52,Tigist GIRMA,ETH,2,Amsterdam,20,OCT,2019,F
13,2:20:14,Vivian CHERUIYOT,KEN,2,London,28,APR,2019,F
14,2:20:14,Ashete BEKERE,ETH,1,Berlin,29,SEP,2019,F
15,2:20:21,Mare DIBABA,ETH,2,Berlin,29,SEP,2019,F
